,Title,Brands,Ratings,Number of Rating,Price,Return Policy,Delivery,Availability,Others,Product URL
20,1001 Activities Book,Dreamland Publications (Author),4.5 out of 5,"2,641 ratings",₹ 279.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 5 mins Details",In stock.,-,https://www.amazon.in/1001-Activities-Book-Dreamland-Publications/dp/9350897245/ref=sr_1_17?dchild=1&keywords=book&qid=1614219001&sr=8-17
21,"Pregnancy Notes: Before, During & After (City Plans)",Rujuta Diwekar (Author),4.2 out of 5,"1,118 ratings",₹ 273.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 15 hrs and 35 mins Details",In stock.,-,https://www.amazon.in/Pregnancy-Notes-Before-During-After/dp/9386224895/ref=sr_1_18?dchild=1&keywords=book&qid=1614219001&sr=8-18
22,Peppa Pig: Little Library,Peppa Pig (Author),4.3 out of 5,"11,711 ratings",₹ 195.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 5 mins Details",In stock.,-,https://www.amazon.in/Peppa-Pig-Little-Library-Ladybird/dp/1409303187/ref=sr_1_19?dchild=1&keywords=book&qid=1614219001&sr=8-19
23,-,-,-,-,-,-,-,-,-,https://www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.7eb4177e-2694-0b8e-a575-5fc7eb7d06bf%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B07QCFTVDG&ref=sr_1_20&keywords=book&qid=1614219001&sr=8-20
24,World’s Best Inspirational Books to Change Your Life (Box Set of 3 Books),"Joseph Murphy Dale Carnegie, Napoleon Hill (Author)",3.7 out of 5,5 ratings,₹ 250.00,10 Days Replacement Only,"Delivery by: Thursday, March 4 Details","In stock on March 2, 2021.
Order it now.",-,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A013445212FV9Y0UISUHA&url=%2FWorlds-Best-Inspirational-Books-Change%2Fdp%2F819489882X%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dbook%26qid%3D1614219001%26sr%3D8-21-spons%26psc%3D1&qualifier=1614219783&id=2823323081645601&widgetName=sp_btf
25,Road to Success: Timeless Advice for Today,Napoleon Hill (Author),4.2 out of 5,43 ratings,₹ 212.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details",In stock.,-,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0550408H2KW66CBN7TV&url=%2FRoad-Success-Timeless-Advice-Today%2Fdp%2F8184952570%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dbook%26qid%3D1614219001%26sr%3D8-22-spons%26psc%3D1&qualifier=1614219783&id=2823323081645601&widgetName=sp_btf
26,The Law of Success in Sixteen Lessons,Napoleon Hill (Author),4.5 out of 5,553 ratings,₹ 248.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 15 hrs and 35 mins Details",In stock.,-,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A01254492D9LMT1OX2TW5&url=%2FLaw-Success-Sixteen-Lessons%2Fdp%2F9388144341%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dbook%26qid%3D1614219001%26sr%3D8-17-spons%26psc%3D1&qualifier=1614219889&id=2148769732196408&widgetName=sp_atf_next
27,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books),Various (Author),4.4 out of 5,6 ratings,₹ 399.00,Pay on Delivery,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 15 hrs and 35 mins Details",In stock.,-,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A01097812DIPHQ4V9JK1M&url=%2FWorlds-Greatest-Personal-Growth-Wealth%2Fdp%2F9390391628%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Dbook%26qid%3D1614219001%26sr%3D8-18-spons%26psc%3D1&qualifier=1614219889&id=2148769732196408&widgetName=sp_atf_next
28,Peppa Pig: Little Library,Peppa Pig (Author),4.3 out of 5,"11,711 ratings",₹ 195.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 4 mins Details",In stock.,-,https://www.amazon.in/Peppa-Pig-Little-Library-Ladybird/dp/1409303187/ref=sr_1_19?dchild=1&keywords=book&qid=1614219001&sr=8-19
29,COMBO: CSIR-JRF-NET: Life Sciences Fundamentals And Practice Part 1 & Part 2,"Pranav Kumar (Author),",4.5 out of 5,572 ratings,₹ 570.00,Pay on Delivery,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 4 mins Details",In stock.,-,https://www.amazon.in/COMBO-CSIR-JRF-NET-Sciences-Fundamentals-Practice/dp/9380473184/ref=sr_1_20?dchild=1&keywords=book&qid=1614219001&sr=8-20
